Titre,Prix_CFA,Localisation,Nb_Chambres,Nb_Salles_Bain,Surface_m2,Description
Appartement meublé Dakar cité Mbackiyou faye,30000.0,Ouakam Dakar,2.0,2.0,100.0,"Je mets à votre disposition un joli appartement de 2 chambres, 1 grand salon, 1 cuisine équipée, toilette intérieure et toilette visiteurs, un espace café, se trouvant dans un immeuble très calme situé aux espaces mamelles, à côté du terminus p7 (gardiennage 24h/24). boulangerie, supérette, fast food et pressing à moins 10 mètres. l'appartement dispose de toutes les commodités: wifi -2 climatiseurs, -2 téléviseurs de 42 pouces + chaines canal -table à manger 8 places -1 réfrigérateur ; 1 micro onde ; 1 cuisinière 4 feux 1 machine à lavée ; 1 chauffe eau gm 2 lits grand model ; 1 armoire gm + placard pour bagages une femme de ménage qui nettoie 3 fois par semaine.
Nb :A louer au minimum 3 jours, prix/jour"
Appartement aux Mamelles,600000.0,Mamelles Dakar,3.0,3.0,100.0,Belle appartement standing aux mamelles àux touba Renaissance zone calme accessible est goudronné composer de 3 chambre sallon 3 salle de bain cuisine équipée toilt ext espace familiale à 600000f le mois.
Studio et appartement meublée à Ngor-Almadies,18000.0,Ngor Dakar,,1.0,100.0,"Bonjour.nous louons des studio F2 ou des appartement F3 climatisées toutes les chambres avec leur Salle de bain à Ngor virage à 5 min de la plage et 2 minutes des Almadies, à 10min du monument de la Renaissance et à 20min centre ville. Les appartements sont composés de chambres salon, cuisine,des télés smart connectées wifi, chaîne câblées table de travaille ou à manger tête à tête des serviette et drap propre femme de ménage disponible. Prévoir compteur woyofol à charger.
Merci de nous contacter pour tout renseignement
NB: le prix affiché est pour les studio ventilées."
Suite meublée à louer sur sacre coeur 3,25000.0,Sacré-cœur Dakar,,,,"Suite meublées à louer a sacre coeur 3 avec cuisine, frigo , grand écran plats"
Bel appartement à Yoff,300000.0,Yoff Dakar,,2.0,,"On met en location un bel appartement neuf et spacieux composé de deux chambres avec salle de bain, d'un salon, d'une cuisine avec placards, d'une cour arrière, d'un patio et d'une toilette pour visiteurs."
Studio meublé au HLM 6,20000.0,Hlm Dakar,,1.0,100.0,"Nous louons ce beau studio meublé au HLM 6 en face de la mosquée massalikoudjilane situé à 2 mn du marché HLM ventilée ou climatisée dans un endroit calme sécurisé avec femme de ménage, draps et serviettes propre.... Merci de nous contacter pour plus d'informations.
Nb: le prix affiché est pour le studio ventilée"
Standing appartement a la citee onomo,550000.0,Virage Dakar,3.0,3.0,150.0,Standing appartement spacieux a la citee onomo aeroport zone calme accessible est guoudronner composer de 3 chambre sallon 3 salle de bain cuisine toilt ext a 600000f
APPARTEMENT f3/F4 à vendre à OUEST FOIRE,35000000.0,Ouest foire Dakar,,,400.0,"Des appartements F3 et F4 disponible en RDC,1er etage et 2e etage avec securité h24 à 5MN DE LA VDN
POUR PLUS D'INFORMATIONS VEUILLEZ ME CONTACTER"
Appartement moderne aux Mamelles,400000.0,Mamelles Dakar,,3.0,,"On met en location un appartement neuf et moderne composé de trois chambres dont deux avec salle de bain et une avec balcon , d'un grand salon avec balcon, d'un espace familial , d'une cuisine avec placards et d'une toilette visiteurs. Le tout dans un immeuble neuf et sécurisé avec ascenseur."
A vendre grande maison angle tf marché central Rufisque,280000000.0,Rufisque Dakar,2.0,,830.0,"maison angle tf individuel de 830 m2 située au marché central de Rufisque composée d'un r+1 et de 7 magasins et une très grande cour .au rdc on a un appartement de 2 chambres salon cuisine et un autre appartement servant de dépot. À l'ètage on a 8 chambres salon ,2 débarras.
,cuisine, toilette. idéal pour projet centre commercial."
Appartement F4 à vendre à la VDN,85000000.0,VDN Dakar,,,137.0,"Appartement F4 à la vente près de l'hypermarché Exclusive VDN dans une Résidence habitée et sécurisée.
Grand salon- salle a manger ouvert sur le séjour.
Chaque chambre avec sa toilette"
APPARTEMENT A LOUER AUX MARISTES,375000.0,Hann maristes Dakar,3.0,3.0,,"Nous Mettons en location un très joli et grand appartement au rez-de-chaussée dans un immeuble neuf comprenant :
un grand salon,
3 chambres,
3 salles de bain,
1 toilette visiteur ,
une cuisine avec placard,
une cour arrière.
Un patio
Appartement aérée, lumière du jour
Agent de sécurité 24h/24, vidéosurveillance.
BN: pour toute information complémentaire ou besoin de visite veuillez appeler le service commercial FCI"
Duplex F6 à vendre à la VDN,270000000.0,VDN Dakar,,,451.0,"Magnifique Penthouse en duplex à la vente dans une résidence neuve.
F6 en titre foncier individuel aéré et lumineux + 2 Places de parking.
Belles prestations avec de grands espaces de vie .
Situé à coté de l'hypermarché EXCLUSIVE - VDN."
Appartement F3 à vendre à la VDN,65000000.0,VDN Dakar,,,94.0,"Appartement F3 à la vente derrière station Elton VDN , résidence
déjà habitée et sécurisée .
Ideal pour investissement ou jeune couple"
Terrain à vendre YENNE KAO,3500000.0,Yene Dakar,,,150.0,"Terrain à vendre YENNE KAO
Vous avez toujours rêvé d'un pied-à-terre avec une vue imprenable ? Ne cherchez plus. Nous mettons en vente un terrain exceptionnel situé à Yenne Kao.
Superficie : 150 m²
Atout majeur : Excellente vue sur mer (air pur et calme garantis).
Papier délibération, double signature
C'est l'opportunité parfaite pour construire votre villa de vacances ou un investissement locatif rentable."
Terrain a vendre sur la VDN 3,22500000.0,vdn 3 Dakar,,,200.0,"Vente des parcelles de terrains déjà lotissés et bornés , Eau et Électricité .
Vente sécurisé devant Notaire , Titre : Bail morcelé.
Trés accessible , situe en face de la route sur le prolongement de la VDN 3 avant le Rond Point Tivaouane Peul, a 15 minutes de la Foire De Dakar.
Idéal pour un Investissement ou un Habitat..
Modalités de paiement possible"
APPARTEMENT REZ DE CHAUSSÉE SACRÉ COEUR 3,300000.0,Sacré-cœur Dakar,3.0,3.0,150.0,"Nous mettons en location cet appartement rez de chaussée indépendant de 3 chambres grand salon cuisine cour arrière 2 toilettes Situé a sacré cœur 3 , ruelle pavée , très accessible par jvc et gare Brt 2 libertés 2 voies sacre coeur 3 proche auchan."
Villa F4 en location vente sur 10 ans à Ndiakhirate,45000000.0,Ndiakhirate Dakar,3.0,,,"Découvrez la Villa F4 à Ndiakhirate avec ATA CG Immobilier !
Pour seulement 45.000.000 FCFA, devenez propriétaire de cette magnifique villa. 📍
Située dans un quartier en plein développement, elle est idéale pour les familles qui cherchent confort, sécurité et accessibilité.
🛏️ 3 chambres salon | 🏡 Surface spacieuse | 🔐 Sécurité garantie
Ne ratez pas cette opportunité unique d'investir dans votre avenir immobilier ! 🌟
🌐 Plus de détails sur notre site :
www.immobilier.ataconsultinggroup.com"
Appartement F5 à vendre prés de la Cité Mourtada Sur la VDN.,160000000.0,VDN Dakar,4.0,,234.0,"Appartement F5 + 1 place de parking, à la vente dans une résidence neuve et sécurisée.
-Belles finitions
-Grand salon ,
-4 chambres avec SDB
-Double cuisine Européenne et Africaine
-Espace domestique
Situé près de la Cité Mourtalla VDN , proche des commodités."
Terrain à vendre à Kounoune 2 (Cité Manaing Seck),18000000.0,Kounoune Dakar,,,150.0,"Un lot de 10 Terrains de 150 m2 à vendre à Kounoune 2 (Cité Maniang Seck)
• Déjà viabilisé
• Titre foncier
• Superficie: 150 m2"
F5 de grand standing à vendre à Mermoz,,Mermoz Dakar,,,300.0,"Appartement F5 de grand standing aéré et lumineux à la vente à
Mermoz.
Situé juste derrière l'hypermarché Auchan-KFC-Pathé cinéma .
investissez dans une résidence de qualité dont chaque appartement occupe tout le palier sans vis à vis . Donnez vous le choix de personnaliser votre appartement à ce stade .
PRIX : OFFRE SPÉCIALE POUR 2 APPARTEMENTS 900 000 / m2"
"Studios meublés de prestige à louer – Résidence NAFAÏA, Fann",2000000.0,Fann Hock Dakar,,1.0,162.0,"Des studios meublés Situés au cœur du quartier recherché de Fann, au sein de la résidence NAFAÏA, ces studio meublés de standing incarnent l'équilibre parfait entre élégance, confort et modernité.
Vous bénéficierez d'un espace intérieur pense pour une clientèle exigeante, raffiné et prolongé par une vaste terrasse privée, idéale pour profiter d'un cadre de vie serein et lumineux. Les matériaux nobles, les finitions haut de gamme et la cuisine moderne entièrement équipée soulignent le caractère premium de cet appartement.
La résidence propose une gestion irréprochable et des prestations exclusives :
Piscine
Salle de sport
Parking en sous-sol
Sécurité et gardiennage 24h/24
Des biens rares à partir de 1700000 fcfa pour ceux qui recherchent discrétion, bien-être et excellence résidentielle, dans l'un des secteurs les plus prisés de Dakar."
APPARTEMENT + STUDIO NEUFS A RUFISQUE CITE DABAKH,150000.0,Rufisque Dakar,2.0,2.0,,"À LOUER - APPARTEMENT + STUDIO NEUFS À RUFISQUE CITÉ DABAKH NON LOIN DU PEAGE
Nous mettons en location, au 1er étage, deux logements jamais habités, situés dans un même immeuble à Rufisque - Cité Dabakh :
🔹 Appartement composé de :
2 chambres
1 salon spacieux
1 cuisine
1 salle de bain
1 toilette visiteur
1 balcon
🔹 Studio comprenant :
1 chambre
1 salon
1 cuisine
1 toilette
✔ Logements neufs
✔ Cadre calme et accessible
✔ Idéal pour habitation familiale ou investissement locatif
📍 Localisation : Rufisque - Cité Dabakh"
APPARTEMENT F4 – NON MEUBLÉ – RÉSIDENCE ANNA,1600000.0,Point-e Dakar,,3.0,207.0,"ALTIS S.A vous propose de magnifiques appartements de type F4, situés dans une rue calme au 📍 Point E, dans une résidence sécurisée et haut de gamme.
D'une superficie généreuse de 207 m², ces appartements offrent des espaces de vie spacieux et lumineux, pensés pour un confort optimal. Ils se composent d'un vaste salon, de trois chambres élégantes, d'une cuisine moderne, d'une buanderie, ainsi que d'une dépendance pour le personnel.
La résidence est équipée de commodités de qualité :
✔ Ascenseur
✔ Parking souterrain
✔ Groupe électrogène
✔ Gardiennage 24h/24
Un cadre de vie privilégié, alliant sécurité, élégance et fonctionnalité, au cœur de l'un des quartiers les plus prisés de Dakar."
Appartement spacieux à louer,140000.0,Rufisque Dakar,2.0,2.0,,"🏠 APPARTEMENT À LOUER - RUFISQUE
À louer bel appartement situé au 1er étage, composé de :
✅ 2 chambres confortables
✅ Grand salon lumineux
✅ Cuisine moderne
✅ Salle de bain
✅ Toilette visiteur
✅ Balcon
Appartement bien aéré, dans un environnement calme et accessible.
📍 Localisation : Rufisque"
Appartement F4 résidence AMARANTE,680000.0,Sicap baobab Dakar,,3.0,140.0,"Découvrez un nouveau cadre de vie au cœur du quartier dynamique de Baobab !
Cet immeuble neuf de 7 étages propose des appartements F4 à louer, parfaits pour accueillir votre famille dans un environnement moderne et sécurisé.
Vous bénéficierez :
✅ d'un ascenseur,
✅ d'un parking sécurisé,
✅ d'une salle polyvalente en terrasse,
✅ d'un groupe électrogène,
✅ ainsi que d'un service de gardiennage et de vidéo-surveillance 24h/24
Le tout pour un confort et une tranquillité au quotidien."
Appartement à vendre au Plateau,1.0,Plateau Dakar,2.0,,92.0,"Appartements à vendre - Plateau
Nous proposons à la vente deux appartements haut standing situés au Plateau :
🔹 Appartement 2 chambres - salon
• Superficie : 92 m²
• Étage : 12ᵉ étage
• Prix : 1,6 million FCFA / m²
➡️ Prix total : 147,2 millions FCFA
🔹 Appartement 3 chambres - salon
• Superficie : 137 m²
• Prix : 1,6 million FCFA / m²
➡️ Prix total : 219,2 millions FCFA
📍 Emplacement privilégié au Plateau
📞 Pour plus d'informations ou pour organiser une visite, contactez nous."
APPARTEMENT F4 – MEUBLÉ - RÉSIDENCE ZHARA,1600000.0,Fenêtre mermoz Dakar,,3.0,180.0,"Appartement F4 de 180 m² situé sur la corniche ouest, dans le quartier résidentiel de Fenêtre Mermoz.
L'appartement comprend trois chambres spacieuses avec salles d'eau attenantes, un vaste salon lumineux et une cuisine équipée.
Idéal pour des séjours de moyenne ou longue durée.
La résidence dispose d'un parking souterrain et d'un système de sécurité."
Appartement F4 à louer à Mermoz,1600000.0,Fenêtre mermoz Dakar,,3.0,,"Appartement F4 à louer à Mermoz - Lumineux, spacieux et proche de la Corniche Ouest
Localisé dans le quartier de Mermoz, à proximité de la Corniche Ouest de Dakar, ce bel appartement F4 très lumineux offre des espaces bien agencés pour votre plus grand confort.
La résidence met à disposition un ensemble de commodités haut de gamme : sécurité assurée 24h/24, groupe électrogène, parking souterrain, cave de rangement, salle polyvalente, salle de sport ainsi qu'une piscine."
Appartement de type f5 à louer - Point E,,Point-e Dakar,4.0,4.0,306.0,"Découvrez ce magnifique appartement (306m²) de type F5 (4 chambres) situé au 4ème étage d'un immeuble neuf et moderne dans le quartier très prisé du Point E.
Idéalement placé dans un lieu calme et à proximité immédiate de tous les commerces, cet appartement allie confort, standing et praticité.
Il est composé de :
Une entrée
Un vaste salon lumineux avec un grand balcon
Une cuisine entièrement équipée donnant sur un balcon
Un coin buanderie avec des toilettes domestiques
Des toilettes visiteurs
Une Grande chambre isolée avec son dressing et sa salle de bain privative
Une chambre parentale avec ses rangements, dressing, salle de bain privative qui donne sur un balcon
Une chambre avec ses rangements, sa salle de bain privative qui donne elle aussi sur un balcon
Une quatrième et dernière chambre avec ses rangements et sa salle de bain privative.
*Une place de parking est attribuée.
*L'immeuble est doté d'une piscine, d'une salle de sport.
*Gardiennage 24/24 7/7"
Studio meublé idéal pour expatriés,850000.0,Dakar Dakar,,1.0,,"Studio moderne et entièrement meublé situé à Ngor-Almadies, l'un des quartiers les plus prisés de Dakar, apprécié des expatriés pour sa sécurité, son cadre de vie agréable et sa proximité avec les commodités.
Ce studio offre tout le confort nécessaire pour un séjour serein :
✔️ Espace nuit confortable avec rangements
✔️ Cuisine équipée (réfrigérateur, plaques, vaisselle)
✔️ Salle de bain privée avec eau chaude
✔️ Climatisation
✔️ Balcon
✔️ Wi-Fi haut débit fiable
✔️ Électricité et eau disponibles 24/7
✔️ Sécurité / gardiennage
📍 Localisation idéale : proche des restaurants, supermarchés, plages, centres d'affaires et écoles internationales.
Logement propre, lumineux et bien entretenu, répondant aux standards internationaux.
Conditions
• Disponible en location mensuelle ou moyen séjour
• Parfait pour professionnels, ONG, diplomates
• Caution : à définir
• Services inclus : Wi-Fi (et ménage si applicable)"
Maison spacieuse avec piscine privée et jardin,175000000.0,Mbour Thiès,,9.0,380.0,"Profitez pleinement de vos séjours grâce à cette charmante maison équipée d'une piscine privée, parfaite pour se détendre et partager des moments inoubliables en famille ou entre amis.
• Type : Maison spacieuse
• Piscine privée pour rafraîchissements et loisirs
• Espace extérieur aménagé avec mobilier confortable
• Environnement calme et lumineux
• Située à proximité des commodités essentielles
Cette maison est en excellent état, soigneusement entretenue pour garantir confort et sécurité. La piscine est prête à l'emploi, idéale pour se relaxer après une journée bien remplie.
Une opportunité rare pour vos vacances ou courts séjours, offrant un cadre agréable et une expérience unique. Ne laissez pas passer cette chance !
Contactez-nous dès maintenant pour réserver votre séjour et vivre un moment de détente absolue."
Appartement à Fann Résidence,1400000.0,Fann Dakar,,3.0,200.0,"Nous vous proposons sur Fann résidence,dans un immeuble très sécurisé avec place de parking au sous-sol,groupe électrogène,ascenseur,conciergerie et agence de sécurité,un magnifique et immense appartement de plus de 200m2 sol marbré,situé au 3eme étage et composé comme suit:
-Vue partielle sur mer
-3 grandes chambres avec toutes des salles d'eau,dressing,split et balcons dans les 2
-1 immense salon avec split et balcon
-1 très grande et belle cuisine très bien aménagé avec des rangements de haut en bas+buanderie
1 WC visiteurs+ des toilettes pour domestiques
Merci de nous contacter pour plus d'infos"
Magnifique Villa R+1 à louer,2000000.0,Avenue Bourguiba Dakar,1.0,,,"À LOUER - Magnifique Villa R+1 à usage commercial ou habitation sur l'Avenue Bourguiba
Découvrez cette superbe villa à louer, idéalement située sur l'avenue Bourguiba en première position sur la route, ce qui en fait un local très commercial. Spacieuse, lumineuse et fonctionnelle, elle conviendra parfaitement à une grande famille ou à une structure professionnelle recherchant un cadre agréable et bien positionné. la villa est composé de:
Rez-de-chaussée - 6 pièces
1 chambre à l'entrée (idéale pour un concierge ou personnel de maison)
1 grand séjour lumineux
1 spacieux salon avec armoire et placards
1 chambre simple
1 chambre avec salle de bain privative
1 deuxième salon de type américain, très spacieux
1 toilette visiteurs, un grand couloir de distribution
1er Étage - 4 pièces
1 grande chambre parentale avec salle de bain privative
2 chambres simples partageant une toilette commune
1 chambre avec accès balcon
1 très grand terrasse
Extérieur :
Parking pouvant accueillir 2 véhicules
Chambre indépendante pour stockage ou débarras
Loyer mensuel : 2 000 000 FCFA HT
Conditions 3 mois."
Terrain 150m2 à vendre Onomo hangar pèlerin,80000000.0,Virage Dakar,,,150.0,"Terrain 150m2 Bail devant notaire +autorisation de main levée à vendre Onomo Hangar Pelerin :
Page Facebook / instangram :
Habitat square Immobilier"
PLATEAUX DE BUREAUX à LOUER SUR LA VDN,1793500.0,VDN Dakar,,,211.0,"Nous mettons en location ce plateau de bureau PREMIUM qui se situe sur la VDN en premier position dans une très accessible et commerciale pour toute activité professionnelle.
SUPERFICIE 211 m2
Commodités
Ascenseur
Concierge
Gardiennage h24
Camera de surveillance
Prix 8500 FCFA le m2"
INSIDE LAC ROSE,1.0,Lac Rose Dakar,,,150.0,"INSIDE Lac Rose - Quand la clarté trouve enfin sa place
Investir dans un terrain, au Sénégal, demande de la confiance.
De la transparence.
Et la certitude que chaque pas est maîtrisé.
C'est pour cela qu'INSIDE Lac Rose arrive aujourd'hui :
un programme foncier conçu pour être simple, propre et lisible.
📍 Un emplacement stratégique
Quelques minutes du Lac Rose,
accès VDN,
sortie 9 de l'autoroute.
Un secteur qui bouge, évolue et se valorise.
🏡 Un cadre déjà aménagé
Eau disponible.
Électricité opérationnelle.
Voiries entièrement pavées.
Parcelles bornées, prêtes à bâtir.
🛡 Une sérénité juridique réelle
Chaque acquisition est encadrée par notaire,
chaque parcelle est en propriété individuelle,
chaque document est clair.
INSIDE Lac Rose n'est pas juste un terrain.
C'est une base solide pour construire, investir ou préparer demain.
Un espace pensé pour durer - et pour grandir avec vous."
Superbe appartement de type F4 à louer,800000.0,Cité keur gorgui Dakar,3.0,3.0,,"Appartements F4 -
Haut Standing de type F4 - 📍 Cité Keur Gorgui
Les appartements F4 se distinguent par leurs volumes généreux et leur confort haut de gamme.
Conçus pour répondre aux attentes des familles modernes, ils allient élégance, fonctionnalité et sécurité.
Caractéristiques :
3 chambres climatisées dont 2 avec salle de bain attenante
Toilettes visiteurs
Grand salon lumineux et spacieux
Cuisine moderne entièrement équipée (rangement, four, micro-ondes, gazinière, hotte, lave-linge)
Sécurité & confort :
Porte d'entrée électronique
Caméra de vidéosurveillance
Environnement paisible et sécurisé
Atouts :
Finitions raffinées
Excellent éclairage naturel
Ambiance conviviale et familiale.
⁠Cadre calme et résidentiel
⁠Condition 3 mois
⁠Usage mixte prend bureau & habitation"
Terrains très accessibles à Yeumbeul,26000000.0,Yeumbeul Dakar,,,150.0,"Découvrez une opportunité rare d'acquérir un terrain idéal pour votre projet immobilier. Ces parcelles bien délimitées offrent un cadre parfait pour construire la maison de vos rêves ou investir dans l'immobilier.
• Parcelles numérotées de 1 à 17, adaptées à différents besoins
• Superficie variable pour s'adapter à vos projets
• Emplacement accessible et bien organisé
• Prêtes à être développées selon vos envies
Chaque terrain est en excellent état, prêt à accueillir vos constructions sans délai. C'est une occasion à ne pas manquer pour sécuriser un emplacement de choix dans un secteur en développement.
Contactez-nous dès maintenant pour profiter de cette offre et concrétiser votre projet immobilier rapidement !"
SOTRAC MERMOZ - F4 meublé,650000.0,Mermoz Dakar,3.0,3.0,160.0,"Appartement de 3 chambres, 2 SDB, espace véranda et buanderie, situé au 3ème étage et dernier étage. Sans ascenseur. Gardiennage 24H. Meublé et tout équipé. Situé dans le quartier prisé de Sotrac Mermoz, à deux pas de l'hypermarché Auchan, du cinéma Pathé, et à 5 minutes en voiture des écoles Jean mermoz, ISD, EAB, du centre commercial du Sea plaza et du complexe sportif de l'Olympique Club. Accès internet inclus. Hors charge d'électricité.
Conditions : 2 mois de caution de garantie + 1 mois de loyer. Direct propriéraire."
"Spacieux 3 chambres, espace de vie ideal pour famille",350000.0,Ouakam Dakar,3.0,,,"Appartement comprenant 3 chambres, dont 2 avec salle de bain privative.
Grande cuisine fonctionnelle.
Grand salon lumineux avec double ouverture.
Vaste espace de vie, lumineux et bien ventilé, offrant confort et convivialité.
Toilette visiteur
Grand balcon
Idéal pour une famille"
Studio meublé à la foire,18000.0,Sud foire Dakar,,,,"bonjour; je loue des studios meublés très propres et moderne dans un endroit calme à côté de la foire de Dakar. ils sont composées d'une chambre climatisée sdb chauffe eau salon climatisée tv écran plat canal wifi toilette visiteur balcon espace familial avec table a manger cuisine équipée d'un frigo micro onde gazinière ustensiles etc, femme de ménage tous les jours. pour plus d'info contacter moi par tel ou whatsapp N.B: réduction de 10% à partir de 2 semaines"
Maison meublée Mermoz,65000.0,Mermoz Dakar,3.0,3.0,200.0,"charmante maison, 3 chambres salon,climatisée avec jardin a l' avant et grande cour fleurie a l'arrière. aérée ,propre et lumineuse. quartier Mermoz -possibilité de long séjour"
À LOUER - Belle Villa Meublée avec Piscine à Saly Carrefour,500000.0,Saly Thiès,4.0,,500.0,"🏡✨ À LOUER - Belle Villa Meublée avec Piscine à Saly Carrefour ✨🏡
Située dans un quartier calme et résidentiel, à environ quelques minutes des plages, cette belle villa est vendue entièrement meublée, offrant confort et praticité, proche de toutes commodités (supermarchés, Auchan, Carrefour Market, Urgences 24, centre ophtalmologique, commerces, restaurants, banques...).
🔹 Rez-de-chaussée :
• 02 chambres avec salle d'eau partagée
• Salon lumineux
• Cuisine ouverte
• Cuisine africaine indépendante
• Piscine / espace arboré et fleuri
• Garage
• Dépendance avec salle d'eau (gardien)
• WC avec douche domestique
•Puit
•Réservoir d'eau
🔹 Étage :
• 03 chambres avec salles de bain privées
dont une chambre parentale avec balcon et baignoire
• Espace familial
• Balcon
🔹 Sécurité :
• Clôture sécurisée avec fils barbelés
• Porte principale avec alarme intégrée et contrôle à distance
📍 Emplacement stratégique à Saly Carrefour."
Appartement à vendre à Mermoz,140000000.0,Mermoz Dakar,3.0,3.0,170.0,"Bel appartement lumineux bien situé, avec une très bel vu, on a 3 chambres 3 salles de bains un grand salon une cuisine un ascenseur un groupe électrogène et un parking sous sol"
Hangar à louer diamniadio,1500000.0,Diamniadio Dakar,,,800.0,"Le nouvel entrepôt à Diamniadio est l'emplacement idéal pour optimiser vos opérations logistiques au Sénégal. Offrant des hangars modernes et sécurisés, chaque unité comprend deux bureaux et un bloc sanitaire. Avec une accessibilité maximale pour les gros porteurs, le site garantit la sécurité de vos marchandises 24h/24."
Apparemment pour Bureaux Usage Professionnel,1000000.0,VDN Dakar,,4.0,,"Appartement neuf situé au 1er etage ,spacieux et idéalement situé à Sacré-Cœur 3 VDN, dans un quartier calme et facilement accessible.
Le bien est parfaitement adapté à un usage professionnel (bureaux). Il comprend :
• 4 bureaux climatisés
• 3 toilettes
• Une salle d'attente
• Un espace café
• Un débarras
• Des balcons indépendants avec vue sur jardin et VDN
• Une terrasse libre
Emplacement stratégique, proche des axes principaux, offrant un cadre de travail confortable et professionnel.
Joignable en appl premier numero pas de watsap / 2e joignable sur watsap"
MINI-STUDIO MEUBLE MERMOZ,280000.0,Mermoz Dakar,,1.0,,"Mini studio entièrement meublé loué au mois.
Sans salon, le studio est constitué d'une chambre fermée, d'une kitchenette avec table à manger et d'une salle de bain intérieure.
Le mini-studio est entièrement équipé et meublé avec :
• Une kitchenette
• Cuisinière avec bouteille de gaz
• Un micro-onde
• Un réfrigérateur
• Un climatiseur
• Une télévision
• Un chauffe-eau
• Un lit
• Une table à manger
Il est situé au troisième étage. Très calme.
A proximité de la VDN (Siège SONATEL, ECOBANK, ONG...) et de la corniche (plusieurs représentations diplomatiques)."
Villa commerciale à louer aux Mamelles,2500000.0,Mamelles Dakar,3.0,,600.0,"À LOUER - GRANDE VILLA R+3 AUX MAMELLES
💰 Loyer mensuel
Idéalement située aux Mamelles, cette imposante villa bâtie sur 600 m² offre de vastes espaces modulables parfaitement adaptés pour un siège d'entreprise, une ONG, une école, un centre de formation ou toute activité professionnelle de grande envergure.
🔹 Rez-de-chaussée (233 m²) :
Grand salon de 57 m² idéal pour salle de réunion ou espace polyvalent, chambre avec salle d'eau, 4 toilettes visiteurs, cuisine aménageable en cafétéria, espace familial pouvant servir d'accueil ou salle d'attente, buanderie exploitable en stockage ou archives.
🔹 1er étage (217 m²) :
Deux grands salons lumineux avec balcons, 3 chambres avec salles de bain dont une grande suite parentale avec dressing et balcon (parfaite pour bureau exécutif), toilette visiteurs et cuisine secondaire.
🔹 2e étage (201 m²) :
Trois vastes open spaces avec balcons idéals pour coworking ou plateaux administratifs, 1 bureau (archives), 3 toilettes.
🔹 3e étage (199 m²) :
Plusieurs open spaces adaptés aux équipes de direction, salle de réunion, grand hall d'accueil, 3 toilettes.
🔹 Bâtiment annexe R+1 (71 m²) :
Parfait pour logement de gardien, stockage ou bureaux complémentaires.
✨ Bâtiment lumineux, volumes généreux et fort potentiel d'aménagement professionnel."
Hangar à louer,4000000.0,Diamniadio Dakar,,,250.0,"Disponibilité : Hangars de 1250m²
Emplacement : Idéalement situés en face de SENECO SA, à proximité de l'autoroute à péage, sortie 10.
Autres hangars disponibles :
800 m² à Diamniadio
7 930 m² à Dakar, zone industrielle
Hangars contigus de 500 m², 900 m² et 2 000 m² dans la zone industrielle de Dakar
1 000 m² à Diamniadio
N'hésitez pas à nous contacter pour plus d'informations !"
Location villa 8 pièces Ngor Virage avec vue sur mer,1500000.0,Almadies Dakar,5.0,1.0,500.0,"Villa R+1 spacieuse et très accessible ouverte sur deux rues vue sur mer à Ngor Virage Dakar en face Archotel dans un quartier calme, sécurisé et résidentiel. idéale pour habitation ou usage professionnel
5 chambres
2 salons
1 salle à manger
3 salles de bain
2 salles d'eau
1 toilette visiteur
Grand garage double
Jardin sur deux façades
Grande terrasse sur deux façades"
Apparts duplex Mermoz Sacré-Coeur,400000.0,Mermoz Dakar,4.0,3.0,200.0,"Bonjour
Nous disposons à Mermoz -Sacré Coeur de bels apparts, duplex et villas de 2 ; 3 et 4 chambres salon 2 salles de bain interne 1 toilette externe espace fam cuisine placard balcon au 2e étage à 300 ; 400; 500;600 à 800
mille par mois et d'autres dont nous disposons ( cité keur Gorgui avec ascenseur ; Mamelles Almadies etc...)"
Villa F4 à louer Sangalkam Cité Kalia,650000.0,Sangalkam Dakar,2.0,2.0,319.0,"Type : Villa F4 - 3 chambres + 2 Salles de bain + salon + piscine
Située dans la cité résidentielle Kalia à Sangalkam, cette villa moderne F4 offre un cadre de vie calme, sécurisé et parfaitement adapté aux familles, aux expatriés ou aux entreprises souhaitant loger leurs collaborateurs.
Commodités : Reserve d'eau, un forage, coin barbecue, jardin et un garage couvert pour deux véhicules
Atouts de localisation
Auchan à environ 10 minutes
Complexe scolaire des Pères Maristes à environ 5 minutes
Lac Rose à environ 10 km (15-20 minutes)
Accès rapide vers Dakar, Diamniadio et l'AIBD"
Apparemment à louer,750000.0,Mamelles Dakar,,3.0,150.0,"Bonjour
C'est un appartement qui se trouve au mamelle extension non loin du monument de la renaissance avec ascenseur groupe électrogène parking sous terrain cuisine américaine, climatisation chauffe eau, placard, bien lumineux, l'appartement se trouve à quelque minutes du lycée française Jean Mermoz et à quelle que minute des almadies à Dakar au Sénégal"
Apparemment à louer,1000000.0,Mamelles Dakar,3.0,3.0,200.0,"Bonjour
C'est un appartement de 3chambre salon cuisine équipée parking ascenseur ,il est au deuxième étage
L'appartement se trouve au mamelle en face des phares de mamelle à proximité de monument de la renaissance à quelle que minute du lycée française Jean Mermoz et les plages des mamelle avec une belle finition bien lumineux à Dakar au Sénégal"
